bibliography,seanuts_id2,genus_species,subgroup,location,ca_mg,fat,fe_mg,protein,zn_mg
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1712,Mytilus chilensis,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2038",NA,NA,2.88,NA,NA
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1712,Mytilus chilensis,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2042",NA,NA,NA,NA,1.37
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1713,Mytilus chilensis,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2035",130,NA,NA,NA,NA
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1713,Mytilus chilensis,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2039",NA,NA,5.18,NA,NA
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1713,Mytilus chilensis,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2043",NA,NA,NA,NA,1.55
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1714,Mytilus chilensis,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2036",150,NA,NA,NA,NA
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1714,Mytilus chilensis,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2040",NA,NA,8.27,NA,NA
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1714,Mytilus chilensis,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2044",NA,NA,NA,NA,1.28
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1715,Mytilus chilensis,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2037",120,NA,NA,NA,NA
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1715,Mytilus chilensis,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2041",NA,NA,7.25,NA,NA
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1715,Mytilus chilensis,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2045",NA,NA,NA,NA,1.86
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1716,Perunytitus purpuratus,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2046",180,NA,NA,NA,NA
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1716,Perunytitus purpuratus,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2051",NA,NA,10.1,NA,NA
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1716,Perunytitus purpuratus,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2056",NA,NA,NA,NA,2.42
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1717,Perunytitus purpuratus,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2047",140,NA,NA,NA,NA
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1717,Perunytitus purpuratus,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2052",NA,NA,8.62,NA,NA
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1717,Perunytitus purpuratus,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2057",NA,NA,NA,NA,1.84
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1718,Perunytitus purpuratus,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2048",150,NA,NA,NA,NA
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1718,Perunytitus purpuratus,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2053",NA,NA,13.1,NA,NA
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1718,Perunytitus purpuratus,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2058",NA,NA,NA,NA,1.52
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1719,Perunytitus purpuratus,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2049",150,NA,NA,NA,NA
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1719,Perunytitus purpuratus,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2054",NA,NA,8.56,NA,NA
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1719,Perunytitus purpuratus,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2059",NA,NA,NA,NA,2.1
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1720,Perunytitus purpuratus,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2050",100,NA,NA,NA,NA
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1720,Perunytitus purpuratus,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2055",NA,NA,4.54,NA,NA
"M.S. Astorga-EspaÌ±a, E.M. RodrÌ_guez-RodrÌ_guez, C. DÌ_az-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273‰ÛÒ279",1720,Perunytitus purpuratus,Mollusc,"One hundred and twenty-six samples of molluscs (M. chilensis, n=47; N. deaurata, n=65; A. ater, n=4; F. picta, n=4; A. monodon, n=6) were collected at 17 stations located along the coast of the Magellan Strait (Figure 1), between September and December 2060",NA,NA,NA,NA,1.43
"Sankar, T. V., Anandan, R., Mathew, S., Asha, K. K., Lakshmanan, P. T., Varkey, J., ... & Mohanty, B. P. (2013). Chemical composition and nutritional value of Anchovy (Stolephorus commersonii) caught from Kerala Coast, India. Eur. J. Exp. Biol, 3(1), 85-89.",1862,Stolephorus commersonii,Finfish,NA,NA,NA,4,NA,21
"Ì_zden, Ì_. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",2006,Scorpena scrofa,Finfish,Marmara Sea,129.5,0.73,2.1127,18.16,NA
"Ì_zden, Ì_. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",2007,Scorpaena porcus,Finfish,Marmara Sea,78.3,0.55,1.1207,20.46,NA
"Ì_zden, Ì_. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",2008,Merluccius merluccius,Finfish,Marmara Sea,228.1,1.26,2.2887,17.97,NA
"Ì_zden, Ì_. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",2009,Lophius piscatorius,Finfish,Marmara Sea,22.5,0.25,5.4431,15.06,NA
"Ì_zden, Ì_. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",2010,Psetta maxima,Finfish,Black Sea,30.5,2.52,6.89,15.35,NA
"Ì_zden, Ì_. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",2011,Zeus faber,Finfish,Aegean Sea,31.8,1.89,6.1886,18.55,NA
"Ì_zden, Ì_. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",2012,Trachinus draco,Finfish,Marmara Sea,412.3,2.44,15.4185,19.3,NA
"Ì_zden, Ì_. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",2013,Trigla lucerna,Finfish,Marmara Sea,458.5,2.6,1.753,20.18,NA
"Ì_zden, Ì_. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",2014,Esox lucius,Finfish,Lake in Edirne,615,1.23,10.961,18.14,NA
"Ì_zden, Ì_. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",2015,Eriphia verrucosa,Crustacean,Aegean Sea,91.7,0.67,3.3687,18.73,NA
"Ì_zden, Ì_. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",2016,Calappa granulata,Crustacean,Aegean Sea,375.9,0.64,15.63,10.78,NA
"Ì_zden, Ì_. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",2017,Scyllarides latus,Crustacean,Aegean Sea,44.2,0.91,14.1285,18.41,NA
"Ì_zden, Ì_. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",2018,Palinurus vulgaris,Crustacean,Aegean Sea,55.1,0.63,0.932,19.95,NA
"Ì_zden, Ì_. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",2019,Nephrops norvegicus,Crustacean,Aegean Sea,71.6,1.07,5.20175,20.31,NA
"Ì_zden, Ì_. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",2020,Parapenaeus longirostris,Crustacean,Marmara Sea,82.1,0.95,8.2588,19.73,NA
"Ì_zden, Ì_. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",2021,Illex coindetii,Mollusc,Aegean Sea,54.6,1.56,12.3876,15.59,NA
"Ì_zden, Ì_. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",2022,Loligo vulgaris,Mollusc,Aegean Sea,12.5,2.63,10.7289,11.38,NA
"Ì_zden, Ì_. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",2023,Octopus vulgaris,Mollusc,Aegean Sea,44.2,0.76,7.4364,13.09,NA
"Ì_zden, Ì_. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",2024,Sepia officinalis,Mollusc,Aegean Sea,36,0.28,7.2805,14.59,NA
"Ì_zden, Ì_. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",2025,Rapana venosa,Mollusc,Black Sea,125.5,2.54,4.6647,21.08,NA
"Ì_zden, Ì_. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",2026,Chlamys glabra,Mollusc,Aegean Sea,1717.4,0.84,15.7107,11.79,NA
