species1,latin_name,pageid,level_1,level_2,common_name,latin_name1,part,preparation,reference,nutrient,concentration,AgeMatMin,feeding_level,feeding_mode,bulk_trophic_level,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,log_concentration,log_length,realm
Merluccius spp.,Merluccius spp.,6432,Fish,Saltwater Fish,Hakes,Merluccius spp.,whole,raw,27,fat_g,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6863989535702288,NA,NA
Merluccius spp.,Merluccius spp.,6432,Fish,Saltwater Fish,Hakes,Merluccius spp.,eggs,raw,27,fat_g,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5877866649021191,NA,NA
Merluccius spp.,Merluccius spp.,6432,Fish,Saltwater Fish,Hakes,Merluccius spp.,muscle,raw,55,fapun3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2039728043259361,NA,NA
Merluccius spp.,Merluccius spp.,6432,Fish,Saltwater Fish,Hakes,Merluccius spp.,muscle,raw,55,fapun_all_g,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2378743560016174,NA,NA
Merluccius spp.,Merluccius spp.,6432,Fish,Saltwater Fish,Hakes,Merluccius spp.,muscle,raw,82,fapun_all_g,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,NA,NA
Merluccius spp.,Merluccius spp.,6432,Fish,Saltwater Fish,Hakes,Merluccius spp.,muscle,raw,27,mn_mg,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.506557897319982,NA,NA
Merluccius spp.,Merluccius spp.,6432,Fish,Saltwater Fish,Hakes,Merluccius spp.,muscle,raw,27,mg_mg,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.02535169073515,NA,NA
Microgadus tomcod,Microgadus tomcod,6432,Fish,Saltwater Fish,Atlantic Tomcod,Microgadus tomcod,muscle,raw,11,ca_mg,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.918893854273146,NA,freshbrackmarine
Microgadus tomcod,Microgadus tomcod,6432,Fish,Saltwater Fish,Atlantic Tomcod,Microgadus tomcod,muscle,raw,33,ca_mg,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.918893854273146,NA,freshbrackmarine
Microgadus tomcod,Microgadus tomcod,6432,Fish,Saltwater Fish,Atlantic Tomcod,Microgadus tomcod,muscle,raw,61,ca_mg,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.202535517187923,NA,freshbrackmarine
Microgadus tomcod,Microgadus tomcod,6432,Fish,Saltwater Fish,Atlantic Tomcod,Microgadus tomcod,liver,raw,7,ca_mg,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.791759469228055,NA,freshbrackmarine
Microgadus tomcod,Microgadus tomcod,6432,Fish,Saltwater Fish,Atlantic Tomcod,Microgadus tomcod,muscle,raw,7,fe_mg,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4307829160924542,NA,freshbrackmarine
Microgadus tomcod,Microgadus tomcod,6432,Fish,Saltwater Fish,Atlantic Tomcod,Microgadus tomcod,liver,raw,7,fe_mg,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33500106673234,NA,freshbrackmarine
Microgadus tomcod,Microgadus tomcod,6432,Fish,Saltwater Fish,Atlantic Tomcod,Microgadus tomcod,muscle,raw,11,protein_g,19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.990719731730447,NA,freshbrackmarine
Microgadus tomcod,Microgadus tomcod,6432,Fish,Saltwater Fish,Atlantic Tomcod,Microgadus tomcod,muscle,raw,33,protein_g,19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.990719731730447,NA,freshbrackmarine
Microgadus tomcod,Microgadus tomcod,6432,Fish,Saltwater Fish,Atlantic Tomcod,Microgadus tomcod,muscle,raw,7,protein_g,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6878474937846906,NA,freshbrackmarine
Microgadus tomcod,Microgadus tomcod,6432,Fish,Saltwater Fish,Atlantic Tomcod,Microgadus tomcod,muscle,raw,61,protein_g,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.005682604407159,NA,freshbrackmarine
Microgadus tomcod,Microgadus tomcod,6432,Fish,Saltwater Fish,Atlantic Tomcod,Microgadus tomcod,liver,raw,7,protein_g,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0794415416798357,NA,freshbrackmarine
Microgadus tomcod,Microgadus tomcod,6432,Fish,Saltwater Fish,Atlantic Tomcod,Microgadus tomcod,muscle,raw,27,protein_g,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.833213344056216,NA,freshbrackmarine
Microgadus tomcod,Microgadus tomcod,6432,Fish,Saltwater Fish,Atlantic Tomcod,Microgadus tomcod,muscle,raw,11,fat_g,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6931471805599453,NA,freshbrackmarine
Microgadus tomcod,Microgadus tomcod,6432,Fish,Saltwater Fish,Atlantic Tomcod,Microgadus tomcod,muscle,raw,33,fat_g,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6931471805599453,NA,freshbrackmarine
Microgadus tomcod,Microgadus tomcod,6432,Fish,Saltwater Fish,Atlantic Tomcod,Microgadus tomcod,muscle,raw,7,fat_g,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2231435513142097,NA,freshbrackmarine
Microgadus tomcod,Microgadus tomcod,6432,Fish,Saltwater Fish,Atlantic Tomcod,Microgadus tomcod,muscle,raw,61,fat_g,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33500106673234,NA,freshbrackmarine
Microgadus tomcod,Microgadus tomcod,6432,Fish,Saltwater Fish,Atlantic Tomcod,Microgadus tomcod,liver,raw,7,fat_g,45.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8088822465086327,NA,freshbrackmarine
Microgadus tomcod,Microgadus tomcod,6432,Fish,Saltwater Fish,Atlantic Tomcod,Microgadus tomcod,muscle,raw,27,fat_g,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.916290731874155,NA,freshbrackmarine
Micropogonias undulatus,Micropogonias undulatus,6437,Fish,Saltwater Fish,Atlantic Croaker,Micropogonias undulatus,muscle,raw,65,ca_mg,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70805020110221,NA,brackmarine
Micropogonias undulatus,Micropogonias undulatus,6437,Fish,Saltwater Fish,Atlantic Croaker,Micropogonias undulatus,muscle,raw,27,ca_mg,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.770684624465665,NA,brackmarine
Micropogonias undulatus,Micropogonias undulatus,6437,Fish,Saltwater Fish,Atlantic Croaker,Micropogonias undulatus,muscle,raw,79,ca_mg,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5553480614894135,NA,brackmarine
Micropogonias undulatus,Micropogonias undulatus,6437,Fish,Saltwater Fish,Atlantic Croaker,Micropogonias undulatus,muscle,raw,65,zn_mg,0.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.991553216374702,NA,brackmarine
Micropogonias undulatus,Micropogonias undulatus,6437,Fish,Saltwater Fish,Atlantic Croaker,Micropogonias undulatus,muscle,raw,79,zn_mg,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.916290731874155,NA,brackmarine
Micropogonias undulatus,Micropogonias undulatus,6437,Fish,Saltwater Fish,Atlantic Croaker,Micropogonias undulatus,muscle,raw,65,fe_mg,0.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9888614247089905,NA,brackmarine
Micropogonias undulatus,Micropogonias undulatus,6437,Fish,Saltwater Fish,Atlantic Croaker,Micropogonias undulatus,muscle,raw,27,fe_mg,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4574248470388755,NA,brackmarine
Micropogonias undulatus,Micropogonias undulatus,6437,Fish,Saltwater Fish,Atlantic Croaker,Micropogonias undulatus,muscle,raw,46,protein_g,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0633909220278057,NA,brackmarine
Micropogonias undulatus,Micropogonias undulatus,6437,Fish,Saltwater Fish,Atlantic Croaker,Micropogonias undulatus,muscle,raw,65,protein_g,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.89591193827178,NA,brackmarine
Micropogonias undulatus,Micropogonias undulatus,6437,Fish,Saltwater Fish,Atlantic Croaker,Micropogonias undulatus,muscle,raw,27,protein_g,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8622008809294686,NA,brackmarine
Micropogonias undulatus,Micropogonias undulatus,6437,Fish,Saltwater Fish,Atlantic Croaker,Micropogonias undulatus,whole,raw,27,protein_g,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8213788864092133,NA,brackmarine
Micropogonias undulatus,Micropogonias undulatus,6437,Fish,Saltwater Fish,Atlantic Croaker,Micropogonias undulatus,muscle,raw,79,protein_g,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8791984572980396,NA,brackmarine
Micropogonias undulatus,Micropogonias undulatus,6437,Fish,Saltwater Fish,Atlantic Croaker,Micropogonias undulatus,muscle,raw,23,fat_g,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1631508098056809,NA,brackmarine
Micropogonias undulatus,Micropogonias undulatus,6437,Fish,Saltwater Fish,Atlantic Croaker,Micropogonias undulatus,muscle,raw,65,fat_g,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6418538861723947,NA,brackmarine
Micropogonias undulatus,Micropogonias undulatus,6437,Fish,Saltwater Fish,Atlantic Croaker,Micropogonias undulatus,muscle,raw,27,fat_g,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5306282510621704,NA,brackmarine
Micropogonias undulatus,Micropogonias undulatus,6437,Fish,Saltwater Fish,Atlantic Croaker,Micropogonias undulatus,whole,raw,27,fat_g,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.252762968495368,NA,brackmarine
Micropogonias undulatus,Micropogonias undulatus,6437,Fish,Saltwater Fish,Atlantic Croaker,Micropogonias undulatus,muscle,raw,79,fat_g,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5306282510621704,NA,brackmarine
Micropogonias undulatus,Micropogonias undulatus,6437,Fish,Saltwater Fish,Atlantic Croaker,Micropogonias undulatus,muscle,raw,23,fapun_all_g,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6931471805599453,NA,brackmarine
Micropogonias undulatus,Micropogonias undulatus,6437,Fish,Saltwater Fish,Atlantic Croaker,Micropogonias undulatus,muscle,raw,79,fapun_all_g,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2039728043259361,NA,brackmarine
Micropogonias undulatus,Micropogonias undulatus,6437,Fish,Saltwater Fish,Atlantic Croaker,Micropogonias undulatus,muscle,raw,65,mn_mg,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.4420193761824103,NA,brackmarine
Micropogonias undulatus,Micropogonias undulatus,6437,Fish,Saltwater Fish,Atlantic Croaker,Micropogonias undulatus,muscle,raw,65,mg_mg,39.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6838669122903918,NA,brackmarine
Micropogonias undulatus,Micropogonias undulatus,6437,Fish,Saltwater Fish,Atlantic Croaker,Micropogonias undulatus,muscle,raw,27,mg_mg,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1354942159291497,NA,brackmarine
Micropterus spp.,Micropterus spp.,6409,Fish,Freshwater Fish,Bass,Micropterus spp.,muscle,raw,44,ca_mg,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6946271807700692,NA,NA
Micropterus spp.,Micropterus spp.,6409,Fish,Freshwater Fish,Bass,Micropterus spp.,not specified,raw,88,ca_mg,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.382026634673881,NA,NA
Micropterus spp.,Micropterus spp.,6409,Fish,Freshwater Fish,Bass,Micropterus spp.,muscle,raw,44,zn_mg,0.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8698843590599994,NA,NA
Micropterus spp.,Micropterus spp.,6409,Fish,Freshwater Fish,Bass,Micropterus spp.,not specified,raw,88,zn_mg,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4307829160924542,NA,NA
Micropterus spp.,Micropterus spp.,6409,Fish,Freshwater Fish,Bass,Micropterus spp.,muscle,raw,44,fe_mg,0.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2623083813388996,NA,NA
Micropterus spp.,Micropterus spp.,6409,Fish,Freshwater Fish,Bass,Micropterus spp.,not specified,raw,88,fe_mg,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3987761199573678,NA,NA
Micropterus spp.,Micropterus spp.,6409,Fish,Freshwater Fish,Bass,Micropterus spp.,muscle,raw,44,protein_g,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9444389791664403,NA,NA
Micropterus spp.,Micropterus spp.,6409,Fish,Freshwater Fish,Bass,Micropterus spp.,not specified,raw,88,protein_g,18.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9386326815134183,NA,NA
Micropterus spp.,Micropterus spp.,6409,Fish,Freshwater Fish,Bass,Micropterus spp.,muscle,raw,44,fat_g,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6830968447064438,NA,NA
Micropterus spp.,Micropterus spp.,6409,Fish,Freshwater Fish,Bass,Micropterus spp.,not specified,raw,88,fat_g,3.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3056264580524357,NA,NA
Micropterus spp.,Micropterus spp.,6409,Fish,Freshwater Fish,Bass,Micropterus spp.,not specified,raw,88,fapun_all_g,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058268908123975824,NA,NA
Micropterus spp.,Micropterus spp.,6409,Fish,Freshwater Fish,Bass,Micropterus spp.,muscle,raw,44,mn_mg,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.135166556742356,NA,NA
Micropterus spp.,Micropterus spp.,6409,Fish,Freshwater Fish,Bass,Micropterus spp.,not specified,raw,88,mn_mg,0.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11765804346823246,NA,NA
Micropterus spp.,Micropterus spp.,6409,Fish,Freshwater Fish,Bass,Micropterus spp.,not specified,raw,88,mg_mg,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4011973816621555,NA,NA
Microstomus pacificus,Microstomus pacificus,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,muscle,raw,27,ca_mg,50,5.875,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.34,temperate,short and / or deep,demersal,1370,76,3.912023005428146,4.330733340286331,marine
Microstomus pacificus,Microstomus pacificus,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,muscle,raw,79,ca_mg,29,5.875,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.34,temperate,short and / or deep,demersal,1370,76,3.367295829986474,4.330733340286331,marine
Microstomus pacificus,Microstomus pacificus,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,muscle,raw,79,zn_mg,0.2,5.875,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.34,temperate,short and / or deep,demersal,1370,76,-1.6094379124341003,4.330733340286331,marine
Microstomus pacificus,Microstomus pacificus,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,muscle,raw,79,fe_mg,0.2,5.875,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.34,temperate,short and / or deep,demersal,1370,76,-1.6094379124341003,4.330733340286331,marine
Microstomus pacificus,Microstomus pacificus,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,muscle,raw,27,protein_g,15.1,5.875,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.34,temperate,short and / or deep,demersal,1370,76,2.714694743820879,4.330733340286331,marine
Microstomus pacificus,Microstomus pacificus,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,whole,raw,27,protein_g,12.7,5.875,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.34,temperate,short and / or deep,demersal,1370,76,2.5416019934645457,4.330733340286331,marine
Microstomus pacificus,Microstomus pacificus,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,offal,raw,27,protein_g,11.7,5.875,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.34,temperate,short and / or deep,demersal,1370,76,2.4595888418037104,4.330733340286331,marine
Microstomus pacificus,Microstomus pacificus,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,muscle,raw,79,protein_g,15.1,5.875,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.34,temperate,short and / or deep,demersal,1370,76,2.714694743820879,4.330733340286331,marine
Microstomus pacificus,Microstomus pacificus,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,muscle,raw,25,fat_g,1,5.875,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.34,temperate,short and / or deep,demersal,1370,76,0,4.330733340286331,marine
Microstomus pacificus,Microstomus pacificus,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,muscle,raw,27,fat_g,0.9,5.875,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.34,temperate,short and / or deep,demersal,1370,76,-0.10536051565782628,4.330733340286331,marine
Microstomus pacificus,Microstomus pacificus,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,whole,raw,27,fat_g,3.5,5.875,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.34,temperate,short and / or deep,demersal,1370,76,1.252762968495368,4.330733340286331,marine
Microstomus pacificus,Microstomus pacificus,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,offal,raw,27,fat_g,4.4,5.875,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.34,temperate,short and / or deep,demersal,1370,76,1.4816045409242156,4.330733340286331,marine
Microstomus pacificus,Microstomus pacificus,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,muscle,raw,79,fat_g,0.9,5.875,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.34,temperate,short and / or deep,demersal,1370,76,-0.10536051565782628,4.330733340286331,marine
Microstomus pacificus,Microstomus pacificus,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,muscle,raw,25,fapun3,0.2,5.875,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.34,temperate,short and / or deep,demersal,1370,76,-1.6094379124341003,4.330733340286331,marine
Microstomus pacificus,Microstomus pacificus,6152,Fish,Saltwater Fish,Dover Sole,Microstomus pacificus,muscle,raw,25,fapun_all_g,0.23,5.875,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.34,temperate,short and / or deep,demersal,1370,76,-1.4696759700589417,4.330733340286331,marine
Morone americana,Morone americana,6437,Fish,Saltwater Fish,White Perch,Morone americana,muscle,raw,56,protein_g,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9856819377004897,NA,freshbrackmarine
Morone americana,Morone americana,6437,Fish,Saltwater Fish,White Perch,Morone americana,muscle,raw,23,fat_g,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9162907318741551,NA,freshbrackmarine
Morone americana,Morone americana,6437,Fish,Saltwater Fish,White Perch,Morone americana,muscle,raw,56,fat_g,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9162907318741551,NA,freshbrackmarine
Morone americana,Morone americana,6437,Fish,Saltwater Fish,White Perch,Morone americana,muscle,raw,23,fapun_all_g,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35667494393873245,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,62,ca_mg,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70805020110221,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,63,ca_mg,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70805020110221,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,27,ca_mg,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70805020110221,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,79,ca_mg,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70805020110221,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,62,zn_mg,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.916290731874155,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,63,zn_mg,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.916290731874155,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,27,zn_mg,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3093333199837622,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,79,zn_mg,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2039728043259361,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,62,fe_mg,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1743533871447778,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,63,fe_mg,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1743533871447778,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,79,fe_mg,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2231435513142097,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,62,protein_g,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8735646395797834,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,63,protein_g,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8735646395797834,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,27,protein_g,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8507065015037334,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,offal,raw,27,protein_g,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7788192719904172,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,79,protein_g,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8507065015037334,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,23,fat_g,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8329091229351039,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,62,fat_g,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8329091229351039,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,63,fat_g,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8458682675776092,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,27,fat_g,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8329091229351039,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,offal,raw,27,fat_g,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1162555148025524,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,79,fat_g,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7884573603642703,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,72,fat_g,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7419373447293773,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,79,fapun3,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35667494393873245,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,23,fapun_all_g,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2231435513142097,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,62,fapun_all_g,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2484613592984996,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,63,fapun_all_g,0.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.24334625863172918,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,79,fapun_all_g,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35667494393873245,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,62,mn_mg,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.199705077879927,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,63,mn_mg,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.199705077879927,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,62,mg_mg,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6888794541139363,NA,freshbrackmarine
Morone saxatilis,Morone saxatillis,6437,Fish,Saltwater Fish,Striped Bass,Morone saxatillis,muscle,raw,63,mg_mg,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6888794541139363,NA,freshbrackmarine
Mugil cephalus,Mugil cephalus,6437,Fish,Saltwater Fish,Flathead Gray Mullet,Mugil cephalus,muscle,raw,27,ca_mg,51,3.5555555555555554,mainly plants/detritus (troph. 2-2.19),variable,2.48,subtropical,fusiform / normal,benthopelagic,120,100,3.9318256327243257,4.605170185988092,freshbrackmarine
Mugil cephalus,Mugil cephalus,6437,Fish,Saltwater Fish,Flathead Gray Mullet,Mugil cephalus,whole,raw,27,ca_mg,195,3.5555555555555554,mainly plants/detritus (troph. 2-2.19),variable,2.48,subtropical,fusiform / normal,benthopelagic,120,100,5.272999558563747,4.605170185988092,freshbrackmarine
