food_item_id,subgroup,country_region,type,isscaap,x3_alpha,food_name_in_own_language,food_name_in_english,processing,scientific_name,asfis_english_name,asfis_scientific_name,season,other,n,comments_on_data_processing_methods,publication_year,biblioid,compiler,latest_revision_in_version,fat_g,fatce_g,fat_g_2,fapu_g,faun_g,xfa_internal_use,facid_g,fapun3_g,fapun6_g,f20d5n3_g,f22d6n3_g,asfis_scientific_name_fishbase_swap
0902129,Molluscs,"Costa Rica, Lagarto Pacific",NA,52,TBG,NA,"Cambute, meat, raw",r,Strombus galeatus,Giant Eastern Pacific conch,Strombus galeatus,NA,mean weight: 157.0g,NA,FAT-/PRO-/CHO- (analyzed according to AOAC 1985),1992,fi235,SE,1.0,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,Lobatus galeatus
0902130,Molluscs,"Costa Rica, Bahia Ballena, Pacific",NA,52,TBG,NA,"Cambute, meat, raw",r,Strombus galeatus,Giant Eastern Pacific conch,Strombus galeatus,NA,mean weight: 241.3g,NA,FAT-/PRO-/CHO- (analyzed according to AOAC 1985),1992,fi235,SE,1.0,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,Lobatus galeatus
0902131,Molluscs,"Costa Rica, Golfito, Pacific",NA,52,TBG,NA,"Cambute, meat, raw",r,Strombus galeatus,Giant Eastern Pacific conch,Strombus galeatus,NA,mean weight: 141.9g,NA,FAT-/PRO-/CHO- (analyzed according to AOAC 1985),1992,fi235,SE,1.0,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,Lobatus galeatus
0902132,Molluscs,"Itlay, Venice",NA,56,CLJ,NA,"Manila clam, meat, raw",r,Ruditapes philippinarum,Japanese carpet shell,Ruditapes philippinarum,NA,"mean length and weight: 2.794cm, 13.66g",NA,NA,2006,fi236,SE,1.0,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ruditapes philippinarum
0902134,Molluscs,"Unknown, North-eastern Atlantic",NA,57,OCC,NA,"Octoupus, edible flesh (mantle, arms), raw",r,Octopus vulgaris,Common octopus,Octopus vulgaris,May-Sep,NA,NA,NA,2009,fi241,DR,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Octopus vulgaris
0902135,Molluscs,"Unknown, North-eastern Atlantic",NA,57,SQR,NA,"Squid, edible flesh (mantle, arms), raw",r,Loligo vulgaris,European squid,Loligo vulgaris,May-Sep,NA,NA,NA,2009,fi241,DR,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Loligo vulgaris
0902136,Molluscs,"Unknown, North-eastern Atlantic",NA,57,CTC,NA,"Cuttlefish, edible flesh (mantle, arms), raw",r,Sepia officinalis,Common cuttlefish,Sepia officinalis,May-Sep,NA,NA,NA,2009,fi241,DR,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sepia officinalis
0902137,Finfish,Canada,NA,25,ACH,NA,"Arctic char, flesh, raw",r,Salvelinus alpinus,Arctic char,Salvelinus alpinus,NA,NA,NA,FA tr= <0.05g/100g food,2002,fi197,DR,1.0,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Salvelinus alpinus alpinus
0902138,Finfish,Canada,NA,25,ACH,NA,"Arctic char, flesh, raw",r,Salvelinus alpinus,Arctic char,Salvelinus alpinus,NA,NA,NA,FA tr= <0.05g/100g food,2002,fi197,DR,1.0,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Salvelinus alpinus alpinus
0902139,Finfish,Canada,NA,32,GAD,NA,"Cod, flesh, raw",r,Boreogadus spp./Eleginus spp./Gadus spp./Microgadus spp.,Gadiformes nei,Gadiformes/Gadidae,NA,NA,NA,FA tr= <0.05g/100g food,2002,fi197,DR,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,Boreogadus saida
