page_id,level_1,level_2,common_name,latin_name,part,preparation,reference,ca_mg,zn_mg,fe_mg,protein_g,fat_g,fapun3,fapun_all_g,mn_mg,mg_mg,epa,dha,latin_name_cleaned,old_species1,cine_id,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,realm,source
6518,Marine Invertebrates,Crustaceans,Blue Crab,Callinectes sapidus,offal,raw,27,NA,NA,NA,12.4,1.5,NA,NA,NA,NA,NA,NA,Callinectes sapidus,Callinectes sapidus,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6518,Marine Invertebrates,Crustaceans,Blue Crab,Callinectes sapidus,eggs,raw,27,NA,NA,NA,8.5,9.6,NA,NA,NA,NA,NA,NA,Callinectes sapidus,Callinectes sapidus,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6518,Marine Invertebrates,Crustaceans,Jonah Crab,Cancer borealis,muscle,raw,27,96,NA,NA,16.2,1.9,NA,NA,NA,45,NA,NA,Cancer borealis,Cancer borealis,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6518,Marine Invertebrates,Crustaceans,Jonah Crab,Cancer borealis,muscle,raw,79,96,NA,NA,16.2,1.9,NA,NA,NA,NA,NA,NA,Cancer borealis,Cancer borealis,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6518,Marine Invertebrates,Crustaceans,Jonah Crab,Cancer borealis,muscle,raw,55,NA,NA,NA,NA,NA,NA,0.45,NA,NA,0.28,0.1,Cancer borealis,Cancer borealis,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6518,Marine Invertebrates,Crustaceans,Atlantic Rock Crab,Cancer irroratus,muscle,raw,55,NA,NA,NA,NA,1.2,0.42,NA,NA,NA,0.27,0.15,Cancer irroratus,Cancer irroratus,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6518,Marine Invertebrates,Crustaceans,Atlantic Rock Crab,Cancer irroratus,muscle,raw,55,NA,NA,NA,NA,NA,NA,0.45,NA,NA,0.27,0.15,Cancer irroratus,Cancer irroratus,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6518,Marine Invertebrates,Crustaceans,Dungeness Crab,Cancer magister,muscle,raw,23,NA,NA,NA,NA,1,NA,0.3,NA,NA,0.2,0.1,Cancer magister,Cancer magister,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6518,Marine Invertebrates,Crustaceans,Dungeness Crab,Cancer magister,muscle,raw,79,52,3.8,0.4,17.3,1.2,0.38,0.4,NA,NA,NA,NA,Cancer magister,Cancer magister,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
6518,Marine Invertebrates,Crustaceans,Dungeness Crab,Cancer magister,muscle,raw,27,52,3.76,0.365,17.3,1.3,NA,NA,0.055,45,NA,NA,Cancer magister,Cancer magister,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cine
