Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,realm,species,form_clean,search,nutrient,concentration
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,marine,Cyclopterus_lumpus,muscle,FAO,ca_mg,NA
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,marine,Cyclopterus_lumpus,muscle,FAO,ca_mg,7.9
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,marine,Cyclopterus_lumpus,muscle,FAO,ca_mg,NA
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,marine,Cyclopterus_lumpus,muscle,FAO,ca_mg,NA
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,marine,Cyclopterus_lumpus,muscle,FAO,ca_mg,NA
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,marine,Cyclopterus_lumpus,muscle,FAO,ca_mg,7.9
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,marine,Cyclopterus_lumpus,muscle,FAO,ca_mg,NA
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,marine,Cyclopterus_lumpus,muscle,FAO,ca_mg,NA
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,marine,Cyclopterus_lumpus,muscle,FAO,ca_mg,NA
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,marine,Cyclopterus_lumpus,muscle,FAO,ca_mg,7.9
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,marine,Cyclopterus_lumpus,muscle,FAO,ca_mg,NA
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,marine,Cyclopterus_lumpus,muscle,FAO,ca_mg,NA
Cyclopterus lumpus,3.25,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.64,polar,short and / or deep,benthopelagic,868,61,marine,Cyclopterus_lumpus,muscle,FAO,ca_mg,NA
Cynoglossus arel,2,mainly animals (troph. 2.8 and up),variable,3.259999990463257,tropical,elongated,demersal,125,40,brackmarine,Cynoglossus_arel,muscle,FAO,ca_mg,NA
Decapterus punctatus,0.33,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.26,subtropical,fusiform / normal,reef-associated,100,30,marine,Decapterus_punctatus,muscle,FAO,ca_mg,NA
Decapterus punctatus,0.33,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.26,subtropical,fusiform / normal,reef-associated,100,30,marine,Decapterus_punctatus,muscle,FAO,ca_mg,NA
Decapterus punctatus,0.33,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.26,subtropical,fusiform / normal,reef-associated,100,30,marine,Decapterus_punctatus,muscle,FAO,ca_mg,NA
Decapterus punctatus,0.33,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.26,subtropical,fusiform / normal,reef-associated,100,30,marine,Decapterus_punctatus,muscle,FAO,ca_mg,NA
Dentex dentex,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,benthopelagic,200,100,marine,Dentex_dentex,muscle,FAO,ca_mg,NA
Dentex dentex,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,benthopelagic,200,100,marine,Dentex_dentex,muscle,FAO,ca_mg,NA
Dentex dentex,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,benthopelagic,200,100,marine,Dentex_dentex,muscle,FAO,ca_mg,NA
Dentex dentex,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,benthopelagic,200,100,marine,Dentex_dentex,muscle,FAO,ca_mg,NA
Dentex dentex,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,benthopelagic,200,100,marine,Dentex_dentex,muscle,FAO,ca_mg,NA
Dentex dentex,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,benthopelagic,200,100,marine,Dentex_dentex,muscle,FAO,ca_mg,NA
Dentex dentex,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,benthopelagic,200,100,marine,Dentex_dentex,muscle,FAO,ca_mg,NA
Dentex dentex,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,benthopelagic,200,100,marine,Dentex_dentex,muscle,FAO,ca_mg,NA
Dentex dentex,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,benthopelagic,200,100,marine,Dentex_dentex,muscle,FAO,ca_mg,NA
Dentex dentex,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,benthopelagic,200,100,marine,Dentex_dentex,muscle,FAO,ca_mg,NA
Dentex dentex,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,benthopelagic,200,100,marine,Dentex_dentex,muscle,FAO,ca_mg,NA
Dentex dentex,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,benthopelagic,200,100,marine,Dentex_dentex,muscle,FAO,ca_mg,NA
Dentex dentex,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,benthopelagic,200,100,marine,Dentex_dentex,muscle,FAO,ca_mg,NA
Dentex dentex,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,benthopelagic,200,100,marine,Dentex_dentex,muscle,FAO,ca_mg,NA
Dentex dentex,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,benthopelagic,200,100,marine,Dentex_dentex,muscle,FAO,ca_mg,NA
Dentex dentex,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,benthopelagic,200,100,marine,Dentex_dentex,muscle,FAO,ca_mg,NA
Dentex dentex,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,benthopelagic,200,100,marine,Dentex_dentex,muscle,FAO,ca_mg,NA
Dentex dentex,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,benthopelagic,200,100,marine,Dentex_dentex,muscle,FAO,ca_mg,NA
Dentex dentex,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,benthopelagic,200,100,marine,Dentex_dentex,muscle,FAO,ca_mg,NA
Dentex dentex,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,benthopelagic,200,100,marine,Dentex_dentex,muscle,FAO,ca_mg,NA
