species_name,part,nutrient,concentration,reference,reksten_id,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,realm,source
Selar crumenophthalmus,muscle,fe_mg,1.1,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten113,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.57,subtropical,fusiform / normal,reef-associated,170,70,marine,reksten
Sphyraena jello,muscle,fe_mg,0.21,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten114,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,tropical,elongated,reef-associated,200,150,brackmarine,reksten
Amblygaster sirm,whole,zn_mg,1.9,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten115,0.61,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),2.89,tropical,fusiform / normal,reef-associated,75,27,marine,reksten
Auxis thazard,whole,zn_mg,1.6,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten116,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.360000133514403,tropical,fusiform / normal,pelagic-neritic,NA,65,marine,reksten
Decapterus macrosoma,whole,zn_mg,1.8,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten117,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.4,tropical,fusiform / normal,reef-associated,214,35,marine,reksten
Decapterus macrosoma,whole,zn_mg,1.4,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten118,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.4,tropical,fusiform / normal,reef-associated,214,35,marine,reksten
Encrasicholina devisi,whole,zn_mg,2.4,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten119,0.29,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.65,tropical,elongated,reef-associated,13,8,brackmarine,reksten
Equulites elongatus,whole,zn_mg,2.7,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten120,NA,plants/detritus+animals (troph. 2.2-2.79),variable,2.91,tropical,fusiform / normal,demersal,100,12,marine,reksten
Leiognathus dussumieri,whole,zn_mg,3,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reksten
Photopectoralis bindus,whole,zn_mg,2.6,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten122,NA,plants/detritus+animals (troph. 2.2-2.79),NA,2.65,tropical,short and / or deep,demersal,160,11,brackmarine,reksten
Photopectoralis bindus,whole,zn_mg,2.5,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten123,NA,plants/detritus+animals (troph. 2.2-2.79),NA,2.65,tropical,short and / or deep,demersal,160,11,brackmarine,reksten
Rastrelliger kanagurta,whole,zn_mg,1.3,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten124,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1900000572204594,tropical,fusiform / normal,pelagic-neritic,90,NA,marine,reksten
Sillago ingenuua,whole,zn_mg,1.3,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten125,NA,NA,NA,NA,tropical,elongated,demersal,50,20,marine,reksten
Stolephorus indicus,whole,zn_mg,2.2,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten126,NA,mainly animals (troph. 2.8 and up),variable,3.84,tropical,elongated,pelagic-neritic,50,15.5,brackmarine,reksten
Carangoides fulvoguttatus,muscle,zn_mg,0.5,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten127,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.02,tropical,fusiform / normal,reef-associated,100,120,marine,reksten
Diagramma pictum,muscle,zn_mg,0.4,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten128,3.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.39,tropical,fusiform / normal,reef-associated,170,100,marine,reksten
Lethrinus oliva,muscle,zn_mg,0.3,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,reksten
Lutjanus lutjanus,muscle,zn_mg,0.3,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten130,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,tropical,fusiform / normal,reef-associated,96,35,marine,reksten
Nemipterus bipunctatus,muscle,zn_mg,0.6,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten131,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.89,tropical,fusiform / normal,demersal,100,30,marine,reksten
Selar crumenophthalmus,muscle,zn_mg,0.7,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten132,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.57,subtropical,fusiform / normal,reef-associated,170,70,marine,reksten
Sphyraena jello,muscle,zn_mg,0.4,"Reksten, A.M., Somasundaram, T., Kjellevold, M., Nordhagen, A., Bøkevoll, A., Pincus, L.M., Rizwan, A.A.M., Mamun, A., Thilsted, S.H., Htut, T. and Aakre, I., 2020. Nutrient composition of 19 fish species from Sri Lanka and potential contribution to food and nutrition security. Journal of Food Composition and Analysis, p.103508.",reksten133,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.29,tropical,elongated,reef-associated,200,150,brackmarine,reksten
