species,contaminant,dataset,concentration
ictalurus punctatus,lead,hall,15.920000000000002
ictalurus punctatus,mercury,hall,102.125
ictalurus punctatus,mercury,karimi,83.23647120987904
ictiobus bubalus,mercury,karimi,120.95863970588235
ictiobus cyprinellus,mercury,karimi,232.55758101851848
illex illecebrosus,arsenic,hall,103.26666666666667
illex illecebrosus,cadmium,hall,15.14285714285714
illex illecebrosus,lead,hall,18.120000000000005
illex illecebrosus,mercury,hall,13.6875
illex illecebrosus,mercury,karimi,24.125000000000004
istiophorus platypterius,arsenic,hall,224.32500000000002
istiophorus platypterius,cadmium,hall,13.071428571428573
istiophorus platypterius,lead,hall,16.695
istiophorus platypterius,mercury,hall,260.28515625
istiophorus platypterus,mercury,adams,68.75
isurus oxyrinchus,arsenic,hall,392.2
isurus oxyrinchus,cadmium,hall,8.142857142857144
isurus oxyrinchus,lead,hall,31.72
isurus oxyrinchus,mercury,adams,2000
isurus oxyrinchus,mercury,hall,1430.9375
isurus oxyrinchus,mercury,karimi,742.1875
kajikia albida,mercury,karimi,168.75
kajikia audax,mercury,karimi,497.96875
katsuwonus pelamis,mercury,karimi,217.31770833333334
lachnolaimus maximus,mercury,adams,100
lagodon rhomboides,mercury,adams,114.58333333333333
lamna ditropis,mercury,karimi,812.5
larimus fasciatus,arsenic,hall,340.5333333333333
larimus fasciatus,cadmium,hall,12.57142857142857
larimus fasciatus,lead,hall,15.4
larimus fasciatus,mercury,hall,23.75
leiostomus xanthurus,arsenic,hall,315.8
leiostomus xanthurus,cadmium,hall,10.571428571428573
leiostomus xanthurus,lead,hall,14.719999999999999
leiostomus xanthurus,mercury,adams,67.70833333333334
leiostomus xanthurus,mercury,hall,14.250000000000002
lepidopsetta bilineata,arsenic,hall,366.73333333333335
lepidopsetta bilineata,cadmium,hall,9.571428571428571
lepidopsetta bilineata,lead,hall,16.8
lepidopsetta bilineata,mercury,hall,66.49999999999999
lepidopsetta bilineate,mercury,burger,57.49999999999999
lepidopsetta polyxystra,mercury,burger,42.50000000000001
lepisosteus platyrhincus,mercury,adams,56.25
lepomis macrochirus,mercury,adams,87.50000000000001
lepophidium cervinum,arsenic,hall,578
lepophidium cervinum,cadmium,hall,20.71428571428571
lepophidium cervinum,lead,hall,54.2
lepophidium cervinum,mercury,hall,17.812499999999996
leukoma staminea,mercury,karimi,11.71875
limanda ferruginea,arsenic,hall,543.3333333333334
limanda ferruginea,cadmium,hall,5.714285714285714
limanda ferruginea,lead,hall,17.599999999999998
limanda ferruginea,mercury,hall,0
lithodes aequispina,mercury,burger,26.875
litopenaeus setiferus,mercury,karimi,16.733860294117648
lobotes surinamensis,mercury,adams,97.91666666666667
loligo opalescens,arsenic,hall,217.66666666666669
loligo opalescens,cadmium,hall,109.42857142857143
loligo opalescens,lead,hall,29.960000000000004
loligo opalescens,mercury,hall,12
loligo pealii,arsenic,hall,276.1333333333333
loligo pealii,cadmium,hall,11.857142857142858
loligo pealii,lead,hall,15.440000000000001
loligo pealii,mercury,hall,14.625
lophius americanus,arsenic,hall,247.2666666666667
lophius americanus,cadmium,hall,13.285714285714286
lophius americanus,lead,hall,24.08
lophius americanus,mercury,hall,23.75
lopholatilus chamaeleonticeps,arsenic,hall,289.4666666666667
lopholatilus chamaeleonticeps,cadmium,hall,8.714285714285714
lopholatilus chamaeleonticeps,lead,hall,17.68
lopholatilus chamaeleonticeps,mercury,hall,873.40625
lutjanus analis,mercury,adams,165.625
lutjanus analis,mercury,karimi,203.43750000000003
lutjanus buccanella,arsenic,hall,221.86666666666665
lutjanus buccanella,cadmium,hall,10.285714285714285
lutjanus buccanella,lead,hall,18.64
lutjanus buccanella,mercury,hall,155.5625
lutjanus campechanus,arsenic,hall,237.83333333333334
lutjanus campechanus,cadmium,hall,10.5
lutjanus campechanus,lead,hall,16.179999999999996
lutjanus campechanus,mercury,adams,959.375
lutjanus campechanus,mercury,hall,235.71874999999997
lutjanus campechanus,mercury,karimi,88.04554292929294
lutjanus cyanopterus,mercury,karimi,275
lutjanus griseus,arsenic,hall,318.83333333333337
lutjanus griseus,cadmium,hall,11.714285714285714
lutjanus griseus,lead,hall,16.32
lutjanus griseus,mercury,adams,110.41666666666667
lutjanus griseus,mercury,hall,135.96875
lutjanus griseus,mercury,karimi,129.9931232638889
