user_supplied_name	submitted_name	matched_name2	score
Thynnichthys thynnoides	Thynnichthys thynnoides	Thynnichthys thynnoides	0.988
Anguilla bicolor	Anguilla bicolor	Anguilla bicolor	0.988
Hemiramphidae	Hemiramphidae	Hemiramphidae	0.75
Mycteroperca acutirostris	Mycteroperca acutirostris	Mycteroperca acutirostris	0.988
Opisthonema oglinum	Opisthonema oglinum	Opisthonema oglinum	0.988
Sardinella brasiliensis	Sardinella brasiliensis	Sardinella brasiliensis	0.988
Trichiurus lepturus	Trichiurus lepturus	Trichiurus lepturus	0.988
Aluterus monoceros	Aluterus monoceros	Aluterus monoceros	0.988
Mugil liza	Mugil liza	Mugil liza	0.988
Brevoortia aurea	Brevoortia aurea	Brevoortia aurea	0.988
Auxis thazard	Auxis thazard	Auxis thazard	0.988
Cynoscion jamaicensis	Cynoscion jamaicensis	Cynoscion jamaicensis	0.988
Thunnus thynnus	Thunnus thynnus	Thunnus thynnus	0.988
Morone saxatilis	Morone saxatilis	Morone saxatilis	0.988
Merluccius hubbsi	Merluccius hubbsi	Merluccius hubbsi	0.988
Trachurus lathami	Trachurus lathami	Trachurus lathami	0.988
Decapterus punctatus	Decapterus punctatus	Decapterus punctatus	0.988
Ariomma bondi	Ariomma bondi	Ariomma bondi	0.988
Catostomus commersoni	Catostomus commersoni	Catostomus commersoni	0.988
Pomoxis nigromaculatus	Pomoxis nigromaculatus	Pomoxis nigromaculatus	0.988
Sander vitreus	Sander vitreus	Sander vitreus	0.988
Tenualosa ilisha	Tenualosa ilisha	Tenualosa ilisha	0.988
Sparus aurata	Sparus aurata	Sparus aurata	0.988
Lepidopsetta bilineata	Lepidopsetta bilineata	Lepidopsetta bilineata	0.988
Upeneus parvus	Upeneus parvus	Upeneus parvus	0.988
Syacium gunteri	Syacium gunteri	Syacium gunteri	0.988
Cynoscion arenarius	Cynoscion arenarius	Cynoscion arenarius	0.988
Anchoa hepsetus	Anchoa hepsetus	Anchoa hepsetus	0.988
Synodontidae	Synodontidae	Synodontidae	0.75
Selene vomer	Selene vomer	Selene vomer	0.988
Loligo pealeii	Loligo pealeii	Loligo pealeii	0.988
Branchiostegidae	Branchiostegidae	Branchiostegidae	0.75
Cynoscion nothus	Cynoscion nothus	Cynoscion nothus	0.988
Elops saurus	Elops saurus	Elops saurus	0.988
Prochilodus reticulatus	Prochilodus reticulatus	Prochilodus reticulatus	0.988
Sebastes flavidus	Sebastes flavidus	Sebastes flavidus	0.988
Sebastes melanops	Sebastes melanops	Sebastes melanops	0.988
Isopsetta isolepis	Isopsetta isolepis	Isopsetta isolepis	0.988
Pleuronectes vetulus	Pleuronectes vetulus	Pleuronectes vetulus	0.988
Platichthys stellatus	Platichthys stellatus	Platichthys stellatus	0.988
Pandalus jordani	Pandalus jordani	Pandalus jordani	0.988
Crassostrea gigas	Crassostrea gigas	Crassostrea gigas	0.988
