genus_species,common_name,part_edited,biblio_id,cine_id,ca_mg,fe_mg,zn_mg,epa,dha,page_id,trad_food_id,subgroup
Oncorhynchus kisutch,Coho Salmon,muscle,8,543,NA,NA,NA,NA,NA,6446,NA,NA
Oncorhynchus kisutch,Coho Salmon,muscle,27,547,36,1.345,NA,NA,NA,6446,NA,NA
Oncorhynchus kisutch,Coho Salmon,muscle,55,548,NA,NA,NA,7.6,18.6,6446,NA,NA
Oncorhynchus kisutch,Coho Salmon,muscle,55,549,NA,NA,NA,6.2,15.8,6446,NA,NA
Oncorhynchus kisutch,Coho Salmon,eggs,27,550,NA,NA,NA,NA,NA,6446,NA,NA
Oncorhynchus mykiss,Rainbow Trout,muscle,11,553,54,NA,NA,NA,NA,6151,NA,NA
Oncorhynchus mykiss,Rainbow Trout,muscle,8,557,NA,NA,NA,NA,NA,6151,NA,NA
Oncorhynchus mykiss,Rainbow Trout,muscle,59,559,NA,NA,NA,0.377,1.05,6151,NA,NA
Oncorhynchus mykiss,Rainbow Trout,liver,11,561,9,NA,NA,NA,NA,6151,NA,NA
Oncorhynchus mykiss,Rainbow Trout,muscle,27,564,32,2.37,1.28,NA,NA,6151,NA,NA
Oncorhynchus mykiss,Rainbow Trout,whole,27,566,NA,3.392,11.8,NA,NA,6151,NA,NA
Oncorhynchus mykiss,Rainbow Trout,eggs,27,567,NA,NA,NA,NA,NA,6151,NA,NA
Oncorhynchus mykiss,Rainbow Trout,eggs,59,568,NA,NA,NA,0.459,1.44,6151,NA,NA
Oncorhynchus nerka,Sockeye Salmon,muscle,28,579,NA,NA,NA,0.22,0.57,6446,NA,NA
Oncorhynchus nerka,Sockeye Salmon,muscle,28,580,NA,NA,NA,1.88,3.67,6446,NA,NA
Oncorhynchus nerka,Sockeye Salmon,muscle,27,581,176,1.18,NA,NA,NA,6446,NA,NA
Oncorhynchus nerka,Sockeye Salmon,whole,27,582,NA,NA,NA,NA,NA,6446,NA,NA
Oncorhynchus nerka,Sockeye Salmon,viscera,27,583,NA,NA,NA,NA,NA,6446,NA,NA
Oncorhynchus nerka,Sockeye Salmon,eggs,27,584,NA,NA,NA,NA,NA,6446,NA,NA
Oncorhynchus tshawytscha,Chinook Salmon,eggs,34,588,NA,NA,NA,NA,NA,6446,NA,NA
Oncorhynchus tshawytscha,Chinook Salmon,eggs,27,589,NA,NA,NA,NA,NA,6446,NA,NA
Oncorhynchus tshawytscha,Chinook Salmon,eggs,11,590,30,NA,NA,NA,NA,6446,NA,NA
Oncorhynchus tshawytscha,Chinook Salmon,muscle,25,595,NA,NA,NA,0.44,0.55,6446,NA,NA
Oncorhynchus tshawytscha,Chinook Salmon,liver,11,598,28,NA,NA,NA,NA,6446,NA,NA
Oncorhynchus tshawytscha,Chinook Salmon,muscle,11,600,20,NA,NA,NA,NA,6446,NA,NA
